Date,Symbol,Order,Shares,Price
2008-02-11,IBM,BUY LONG,10,96.92
2008-02-25,IBM,EXIT LONG,10,101.48
2008-04-01,IBM,BUY LONG,10,107.39
2008-04-16,IBM,EXIT LONG,10,111.06
2008-05-22,IBM,BUY LONG,10,115.43
2008-07-18,IBM,EXIT LONG,10,120.23
2008-12-30,IBM,BUY LONG,10,78.07
2009-01-06,IBM,EXIT LONG,10,83.38
2009-01-21,IBM,BUY LONG,10,85.43
2009-01-28,IBM,EXIT LONG,10,88.6
2009-02-27,IBM,BUY LONG,10,86.46
2009-03-23,IBM,EXIT LONG,10,92.74
2009-04-28,IBM,BUY LONG,10,95.77
2009-04-29,IBM,EXIT LONG,10,97.75
2009-05-11,IBM,BUY LONG,10,97.18
2009-06-01,IBM,EXIT LONG,10,102.35
2009-08-19,IBM,BUY LONG,10,112.5
2009-09-16,IBM,EXIT LONG,10,115.59
2009-09-30,IBM,BUY LONG,10,113.49
2009-10-09,IBM,EXIT LONG,10,119.49
2009-10-19,IBM,BUY LONG,10,116.76
2009-12-10,IBM,EXIT LONG,10,123.27
2009-12-18,IBM,BUY LONG,10,121.91
2009-12-28,IBM,EXIT LONG,10,126.1
